city,Ada,Alger,Bluffton,Cairo,Caledonia,Carey,Columbus Grove,Continental,Cridersville,Delphos,Dunkirk,Elida,Forest,Fort Jennings,Glandorf,Kalida,Kenton,La Rue,Leipsic,Lima,Marion,Minster,Mount Victory,Nevada,New Bremen,New Knoxville,Ottawa,Ottoville,Pandora,Prospect,Saint Marys,Spencerville,Sycamore,Upper Sandusky,Wapakoneta,Waynesfield,Bellefontaine,West Liberty,Russells Point,De Graff,Lakeview,Belle Center,Quincy,Marysville,Plain City,Richwood,Milford Center,Findlay,Fostoria,McComb,Arlington,Rawson,Arcadia
Ada,0.0,5.29,11.58,19.42,63.57,41.11,22.67,44.5,24.87,34.05,11.19,28.28,22.03,36.46,31.5,33.1,15.04,32.48,31.14,17.65,55.84,52.57,24.77,44.89,49.74,42.74,29.75,37.98,19.76,49.1,41.9,30.61,43.13,34.29,31.35,19.86,31.07,38.86,27.15,38.69,25.35,24.02,41.96,55.15,69.09,42.28,57.23,24.46,40.19,24.98,18.03,14.09,32.53
Alger,5.24,0.0,14.58,22.42,68.59,46.14,25.67,47.5,22.89,37.05,16.22,22.61,27.05,39.46,34.5,36.1,15.14,32.58,34.14,17.9,42.7,50.59,24.88,49.92,47.76,40.77,32.75,40.99,23.49,49.21,39.92,29.29,48.16,39.32,29.37,16.74,25.97,33.77,22.05,33.6,20.25,18.93,36.87,50.06,63.99,42.38,52.14,29.48,45.22,30.01,23.06,19.11,37.56
Bluffton,11.44,16.47,0.0,16.4,66.72,34.18,11.2,33.17,26.71,31.04,19.08,21.92,25.18,33.45,20.62,20.31,26.2,44.78,19.69,19.5,59.0,54.41,38.21,48.05,51.58,44.58,18.27,34.98,8.2,75.85,43.74,32.46,46.29,37.44,33.19,30.05,42.23,50.03,41.69,62.44,39.39,35.19,60.64,66.32,80.26,55.72,68.4,18.15,33.89,18.86,12.16,7.87,26.23
Cairo,19.53,24.56,16.92,0.0,74.81,48.96,6.87,28.25,15.25,16.37,27.17,9.1,33.27,18.79,15.71,15.42,34.29,52.87,25.31,7.44,67.09,42.96,46.3,56.14,40.12,33.13,13.95,20.31,12.94,83.94,32.29,22.31,54.38,45.53,21.73,21.77,42.35,50.14,34.59,50.98,32.29,35.3,49.18,66.44,80.37,63.81,68.52,32.94,48.67,33.62,29.28,22.66,41.02
Caledonia,63.65,68.67,66.64,74.48,0.0,40.61,77.73,99.56,86.04,89.11,53.75,83.34,45.52,91.52,86.56,88.16,36.64,24.79,78.29,81.87,10.79,113.74,36.93,24.67,110.9,103.91,84.8,93.04,74.82,21.62,103.07,95.04,38.53,28.24,92.51,56.89,68.65,70.66,78.16,79.24,80.32,49.92,82.51,43.83,45.84,24.68,50.79,54.64,55.87,66.9,55.54,64.06,60.38
Carey,40.15,45.18,34.05,48.73,39.88,0.0,44.74,56.31,59.04,63.37,30.26,54.25,22.02,65.78,43.76,50.57,34.72,32.17,41.04,51.83,32.16,86.74,43.14,21.21,83.91,76.91,43.07,67.31,36.42,49.0,76.07,64.79,11.83,14.04,65.52,62.39,55.31,63.1,59.13,66.45,65.23,48.01,69.72,60.97,73.21,48.41,67.03,17.4,16.19,29.65,23.46,26.82,17.98
Columbus Grove,22.75,27.78,11.2,6.87,78.04,44.86,0.0,21.41,21.34,22.46,30.4,15.19,36.5,14.3,8.87,9.12,37.52,56.1,18.48,13.53,70.31,49.04,49.54,59.37,46.21,39.21,7.11,17.31,6.1,87.17,38.37,28.4,57.6,48.77,27.82,27.86,48.44,56.23,40.68,57.07,38.38,41.39,55.27,72.53,86.46,67.03,74.61,24.37,40.12,23.61,22.85,17.06,32.47
Continental,44.4,49.42,33.17,28.25,99.68,56.58,21.41,0.0,38.31,21.79,52.04,31.5,58.14,16.51,15.08,11.94,59.16,77.74,19.79,29.55,91.96,54.72,71.17,81.01,51.88,50.25,15.87,16.09,24.59,108.81,44.68,31.67,68.12,70.4,44.79,45.12,65.7,73.5,62.5,74.04,60.2,58.65,72.24,89.78,103.72,88.68,91.86,37.44,49.39,26.96,44.81,34.21,45.21
Cridersville,24.66,22.64,26.91,15.28,87.03,58.95,21.37,38.35,0.0,27.96,39.39,13.89,45.49,30.37,30.2,26.96,34.39,51.83,39.26,9.19,79.31,31.1,44.12,68.36,28.27,21.28,28.45,31.89,27.63,80.38,20.43,18.5,66.59,57.75,9.87,12.64,38.48,46.27,27.6,39.13,25.3,34.46,37.33,62.56,76.5,64.59,64.64,42.93,58.66,43.61,36.97,32.65,51.01
Delphos,33.73,38.75,31.12,16.39,89.02,63.16,22.47,21.79,27.69,0.0,41.38,11.26,47.48,5.37,22.56,14.4,48.5,67.08,34.55,18.93,81.29,34.9,60.51,70.35,32.07,30.43,29.55,5.74,31.42,98.15,24.85,11.85,68.58,59.74,34.18,34.5,55.08,62.88,51.89,63.42,49.59,48.04,61.63,79.17,93.11,78.01,81.25,47.14,62.88,47.81,43.48,36.86,55.22
Dunkirk,11.19,16.22,19.24,27.08,53.66,31.21,30.33,52.16,38.64,41.71,0.0,35.95,8.6,44.12,39.17,40.76,10.63,26.89,38.8,34.48,45.94,66.34,19.18,34.99,63.51,56.51,37.41,45.65,27.42,43.51,55.67,47.65,33.22,24.39,45.12,30.88,31.22,39.01,35.04,42.36,34.39,23.91,45.63,41.38,55.57,36.68,47.47,18.0,33.75,28.26,7.48,18.98,26.09
Elida,27.74,22.6,22.31,9.07,83.02,54.35,15.16,31.42,13.84,11.43,35.38,0.0,41.48,13.44,24.0,19.62,34.34,61.08,33.6,5.08,75.3,41.54,44.09,64.35,38.71,31.71,22.24,15.37,21.23,92.15,30.88,12.54,62.58,53.75,20.32,20.23,40.81,48.6,38.04,49.57,35.74,33.77,47.77,64.9,78.83,61.58,66.98,38.33,54.07,39.01,37.49,28.05,46.41
Forest,22.41,27.44,25.4,33.24,45.41,22.95,36.49,58.32,44.8,47.87,8.6,42.11,0.0,50.28,45.33,46.92,13.18,20.08,44.96,40.64,37.69,72.5,21.59,26.74,69.67,62.67,43.56,51.81,33.58,36.7,61.83,53.8,24.97,16.13,51.28,33.44,33.77,41.56,37.59,44.91,36.95,26.46,48.18,43.79,57.99,31.93,49.88,24.83,38.21,35.09,14.3,25.13,26.61
Fort Jennings,36.21,41.24,33.61,18.87,91.5,65.65,14.3,16.51,30.19,5.37,43.86,13.45,49.96,0.0,16.71,8.55,50.98,69.56,28.7,21.42,83.78,38.67,62.99,72.83,35.83,34.19,18.4,3.01,20.36,100.63,28.62,15.62,71.07,62.22,36.66,36.99,57.57,65.37,54.38,65.91,52.08,50.52,64.11,81.65,95.59,80.5,83.74,49.62,65.36,35.33,45.96,39.35,57.71
Glandorf,31.59,36.62,20.62,15.71,86.88,44.04,8.87,15.08,30.18,22.56,39.23,24.02,45.34,16.71,0.0,8.45,46.36,64.94,13.63,22.37,79.16,57.88,58.37,68.21,55.05,48.05,3.32,16.86,12.05,96.01,47.21,31.87,55.58,57.6,36.65,36.69,57.28,65.07,49.52,65.91,47.22,50.23,64.11,81.36,95.3,75.88,83.44,24.9,40.32,20.26,32.27,21.67,32.67
