city,Ada,Alger,Bluffton,Cairo,Caledonia,Carey,Columbus Grove,Continental,Cridersville,Delphos,Dunkirk,Elida,Forest,Fort Jennings,Glandorf,Kalida,Kenton,La Rue,Leipsic,Lima,Marion,Minster,Mount Victory,Nevada,New Bremen,New Knoxville,Ottawa,Ottoville,Pandora,Prospect,Saint Marys,Spencerville,Sycamore,Upper Sandusky,Wapakoneta,Waynesfield,Bellefontaine,West Liberty,Russells Point,De Graff,Lakeview,Belle Center,Quincy,Marysville,Plain City,Richwood,Milford Center,Findlay,Fostoria,McComb,Arlington,Rawson,Arcadia
Ada,0,10,19,25,71,46,32,66,40,38,20,38,27,45,46,46,25,51,51,30,63,68,40,49,64,58,43,44,32,74,54,52,53,41,42,33,46,57,42,57,39,36,62,69,83,65,71,34,60,43,24,27,47
Alger,10,0,27,33,79,55,40,74,39,46,28,39,35,53,54,54,25,51,59,30,69,67,40,57,63,57,51,52,38,74,53,51,61,49,41,25,37,48,33,48,30,27,53,60,74,65,62,42,68,51,32,35,55
Bluffton,18,27,0,20,74,38,21,53,34,34,24,32,30,41,33,39,42,63,33,24,66,62,55,52,58,52,32,40,15,82,48,46,55,44,35,39,63,74,57,73,54,53,71,86,100,80,88,21,48,28,20,15,34
Cairo,25,33,21,0,80,54,11,45,31,18,30,18,36,25,25,27,49,69,40,14,72,59,61,58,55,49,22,24,22,88,45,33,61,50,33,38,65,76,56,70,52,55,69,88,102,86,90,38,64,47,33,31,51
Caledonia,71,79,73,79,0,47,87,120,98,92,60,92,52,99,101,101,58,40,99,88,19,126,59,36,122,116,98,98,86,30,112,107,49,35,99,90,81,86,91,96,94,78,101,57,60,38,63,64,71,79,62,80,73
Carey,47,55,37,54,48,0,57,81,67,67,36,65,28,74,61,70,50,52,58,58,40,96,62,26,91,86,61,73,49,57,81,80,20,19,69,73,81,92,86,96,85,70,101,83,86,63,89,23,26,39,29,40,30
Columbus Grove,33,41,21,11,88,58,0,34,40,27,38,27,44,24,14,19,57,77,29,23,80,68,69,66,64,58,11,29,11,97,54,42,70,58,42,47,74,85,64,79,61,64,77,97,111,94,99,40,66,37,40,31,53
Continental,66,74,53,45,121,82,34,0,70,36,71,51,77,29,28,23,89,110,36,50,113,95,102,99,90,88,29,28,43,129,78,55,101,91,71,77,104,115,94,109,91,94,107,127,141,127,129,62,83,46,72,58,74
Cridersville,39,39,34,31,99,67,40,70,0,42,50,30,55,49,54,50,58,84,63,21,91,46,72,77,41,36,51,48,40,106,31,36,81,69,19,29,56,67,42,57,39,53,55,79,93,97,81,51,77,60,50,44,64
Delphos,37,45,34,18,92,67,27,36,42,0,43,17,49,12,34,23,61,81,55,22,84,60,74,70,55,53,38,9,37,101,43,20,74,62,43,49,76,87,66,81,63,66,79,99,113,98,101,50,76,60,45,44,63
Dunkirk,20,28,24,30,60,35,38,71,49,43,0,43,15,50,51,51,19,43,56,39,52,77,31,38,72,67,48,49,37,65,62,58,41,30,50,51,50,61,55,65,56,39,70,62,77,56,69,28,54,42,11,31,41
Elida,37,39,33,18,92,66,27,51,30,17,42,0,48,23,40,35,58,81,56,10,84,58,73,70,54,48,37,23,37,101,43,24,73,62,31,37,64,75,54,69,51,54,67,87,101,97,89,49,76,59,45,43,62
Forest,28,36,30,36,52,27,44,77,55,49,15,49,0,56,58,58,24,35,62,45,44,83,36,30,79,73,55,55,43,57,69,64,33,22,56,56,55,66,60,70,61,44,75,67,82,54,74,36,51,50,19,37,46
Fort Jennings,44,52,41,25,99,74,24,29,49,12,50,23,55,0,26,15,68,88,47,29,91,67,81,77,62,60,30,5,34,108,50,27,81,69,50,56,83,94,73,88,70,73,86,106,120,105,108,57,83,55,52,51,70
Glandorf,47,55,33,25,102,62,14,28,54,34,52,41,58,26,0,14,70,91,26,36,94,82,83,80,77,72,10,26,24,110,67,52,81,72,55,61,87,98,78,93,75,78,91,110,124,108,112,42,67,34,52,38,54
Kalida,46,54,39,27,101,71,19,23,50,23,51,35,57,15,14,0,70,90,35,30,93,78,82,79,74,68,18,15,29,110,64,41,83,71,52,58,84,95,75,89,71,75,88,107,121,107,109,51,76,43,54,47,63
Kenton,26,26,43,49,59,49,56,90,58,62,19,58,24,69,70,70,0,29,75,50,46,81,18,52,77,72,67,68,56,52,67,70,55,44,57,37,36,47,41,51,43,25,57,49,64,42,55,47,73,61,29,50,60
La Rue,51,51,63,69,40,51,77,110,84,82,43,82,35,89,90,90,29,0,95,75,31,105,31,47,101,96,88,88,76,26,91,96,53,37,80,61,58,66,65,74,66,49,79,45,59,20,51,68,75,83,51,70,78
Leipsic,51,59,33,40,99,59,29,36,63,55,56,56,62,47,26,35,74,95,0,52,91,91,87,77,86,81,25,47,24,108,76,71,78,70,64,68,95,106,86,102,82,85,100,118,132,112,120,39,58,21,51,38,51
Lima,30,31,26,14,88,59,22,50,21,23,38,10,44,30,36,31,49,75,52,0,80,49,64,66,45,39,33,29,31,96,34,24,69,58,22,29,55,66,45,60,42,46,58,79,93,89,80,42,68,51,40,35,55
Marion,64,69,66,72,18,40,80,113,91,85,52,85,45,92,93,93,46,31,91,81,0,119,50,29,115,109,91,91,79,22,104,100,42,27,92,78,73,77,82,87,84,66,93,49,57,29,55,56,63,72,54,72,66
Minster,68,68,63,60,128,96,69,95,46,60,78,59,84,67,83,79,81,105,92,50,120,0,79,106,6,18,80,68,69,106,21,40,110,98,34,50,56,66,45,47,46,60,43,79,93,97,81,80,106,89,79,73,93
Mount Victory,40,40,55,61,59,62,69,102,72,74,31,72,36,81,82,82,18,31,87,64,50,79,0,64,74,75,79,80,68,36,75,85,68,56,64,48,34,44,39,49,42,22,54,32,46,25,38,59,85,74,42,62,72
Nevada,50,58,52,57,36,25,65,99,76,71,38,71,30,78,79,79,52,47,77,66,29,105,65,0,100,95,76,77,65,45,90,86,20,13,78,80,83,95,88,98,87,72,104,72,75,52,78,42,49,57,40,58,52
New Bremen,64,63,59,55,124,92,64,90,41,55,74,54,80,62,78,75,77,101,87,45,116,6,74,102,0,14,75,64,64,101,17,36,105,94,30,46,51,62,41,48,42,56,44,74,88,92,76,75,101,85,75,69,88
New Knoxville,58,58,53,50,118,86,59,88,36,53,68,48,74,60,72,69,72,96,82,40,110,18,75,96,14,0,70,62,58,102,12,34,99,88,22,39,52,63,40,51,38,56,47,75,89,93,77,70,96,79,69,63,82
Ottawa,44,52,32,22,99,61,11,29,51,38,49,38,55,30,10,18,67,88,25,33,91,79,80,77,75,69,0,30,21,107,64,53,80,69,52,58,84,96,75,90,72,75,88,108,122,105,109,42,67,33,51,37,53
Ottoville,44,52,40,25,99,73,29,28,48,9,49,23,55,5,26,15,67,88,47,29,91,68,80,77,64,62,30,0,39,107,52,29,80,69,50,56,82,94,73,87,69,73,86,106,120,105,107,57,83,55,51,50,70
Pandora,31,38,15,22,86,50,11,44,39,37,37,37,43,34,24,29,55,75,24,30,79,68,68,64,63,58,21,40,0,95,53,52,68,57,41,45,71,83,62,78,59,62,77,95,109,92,96,31,57,28,34,22,43
Prospect,74,74,82,88,30,56,96,130,105,101,65,101,57,108,110,110,52,26,108,97,23,105,36,45,100,101,107,107,95,0,104,116,58,44,93,81,55,59,64,69,68,58,75,31,38,11,37,73,80,88,71,89,82
Saint Marys,54,53,49,45,114,82,54,78,31,43,64,44,70,50,68,64,68,92,77,35,106,21,75,92,17,12,65,52,54,105,0,24,95,84,17,35,55,66,41,56,38,53,54,78,92,96,80,65,91,75,65,59,78
Spencerville,52,51,47,33,107,80,42,55,36,20,58,24,64,27,52,41,70,96,72,24,100,40,85,86,36,34,53,29,53,116,24,0,89,78,27,46,68,80,54,70,51,66,68,92,106,109,93,64,90,73,60,57,77
Sycamore,53,61,55,60,50,20,68,100,79,74,41,74,33,81,80,82,55,53,77,69,42,108,68,20,103,98,79,80,68,59,93,89,0,21,81,83,86,98,91,101,90,75,107,85,88,65,91,42,36,57,43,58,43
Upper Sandusky,42,50,44,50,35,19,58,91,69,63,31,63,23,70,72,72,45,37,70,59,27,97,57,13,93,87,69,69,57,43,82,78,21,0,70,73,76,87,81,91,80,65,96,70,73,50,76,35,43,51,32,51,45
Wapakoneta,42,41,37,34,102,70,42,72,19,45,52,32,58,51,56,53,57,80,65,23,94,34,64,80,30,22,53,51,42,94,17,27,83,72,0,24,44,55,30,45,27,42,43,67,81,85,69,53,80,63,53,47,66
Waynesfield,33,25,40,38,91,73,46,77,29,49,51,37,56,56,60,57,37,61,68,29,78,50,48,80,45,39,57,55,45,83,35,46,84,72,24,0,32,44,18,35,15,27,41,56,70,72,57,56,83,66,55,50,69
Bellefontaine,46,37,63,64,82,80,73,104,56,76,50,64,55,83,87,84,36,58,95,55,74,56,34,83,52,52,84,82,72,56,55,69,86,75,45,33,0,14,16,18,19,18,23,29,43,45,31,78,104,87,60,71,90
West Liberty,57,48,74,76,87,91,84,115,67,87,61,75,66,94,98,95,47,66,106,67,80,66,44,94,63,64,95,93,83,61,67,80,98,86,56,44,14,0,27,18,31,29,24,34,48,52,35,89,115,98,72,82,102
Russells Point,42,33,57,55,91,85,64,94,42,67,55,54,60,74,78,75,41,65,86,45,82,45,39,88,41,40,75,73,63,66,41,54,91,80,30,18,15,27,0,19,5,19,24,39,53,57,40,74,100,83,64,67,87
De Graff,57,48,73,70,96,95,79,109,56,82,65,69,70,89,93,89,51,74,102,60,89,47,49,98,48,51,90,88,79,70,56,69,101,90,45,35,18,18,19,0,21,33,6,43,57,60,45,89,115,98,75,82,102
Lakeview,39,30,54,52,94,84,61,91,38,63,56,51,61,70,74,71,43,66,83,42,84,46,42,87,42,38,71,69,59,69,37,51,90,79,27,15,19,30,5,21,0,22,26,42,56,60,44,71,97,80,61,64,83
Belle Center,36,27,53,55,79,69,63,94,54,66,39,54,44,73,77,74,25,49,85,46,66,60,22,72,56,56,74,72,62,58,53,66,75,64,42,27,18,29,19,33,22,0,39,42,56,47,44,66,93,77,49,61,79
Quincy,62,54,72,69,101,101,78,108,55,80,70,67,75,87,91,88,57,79,101,58,94,43,54,103,44,47,88,86,77,76,55,68,107,95,43,41,23,24,24,6,26,39,0,49,63,66,50,88,115,98,81,82,101
Marysville,69,60,86,87,58,83,96,127,79,99,62,87,67,106,110,107,49,45,118,78,49,79,32,72,75,75,107,105,95,31,79,92,85,71,68,56,30,34,39,44,42,42,49,0,19,25,10,90,107,105,73,93,103
Plain City,83,74,100,101,60,86,110,140,93,113,77,101,82,120,124,121,63,58,132,92,58,93,46,75,88,89,121,119,109,38,92,106,88,73,81,70,43,48,53,58,56,56,63,19,0,38,21,102,109,118,87,108,112
Richwood,65,65,80,86,38,63,93,127,96,99,56,97,54,106,107,107,42,20,112,89,30,97,25,52,92,93,104,105,93,11,96,109,66,51,85,72,45,51,56,60,59,47,66,25,39,0,31,80,87,95,66,87,90
Milford Center,71,63,89,90,63,89,99,129,82,102,69,89,74,109,112,109,55,52,121,81,56,82,38,78,77,78,109,108,97,38,81,94,91,77,70,58,32,35,42,46,45,44,52,10,21,32,0,96,113,111,79,96,109
Findlay,35,43,21,38,64,24,40,62,52,51,28,50,35,58,42,51,47,68,39,42,56,80,59,42,75,70,42,57,30,73,65,64,43,36,53,57,78,89,75,90,71,66,89,90,102,80,97,0,26,20,18,24,13
Fostoria,61,69,48,64,72,26,66,83,78,78,54,76,52,85,67,76,73,76,58,68,64,106,85,50,102,96,67,84,57,81,91,90,36,43,79,83,104,115,101,116,97,93,115,107,110,87,113,26,0,38,44,50,13
McComb,43,51,28,47,79,39,37,46,60,60,41,58,48,55,34,43,60,81,21,51,72,89,72,57,84,79,33,55,27,88,74,73,58,51,62,66,87,98,83,98,80,77,98,103,117,95,109,20,38,0,31,26,31
Arlington,24,32,20,32,62,28,39,72,50,45,11,45,18,52,52,53,29,51,52,41,54,79,42,40,74,69,50,51,34,70,64,60,43,32,52,54,60,72,64,75,61,49,81,73,88,66,79,18,44,32,0,22,31
Rawson,27,35,14,31,78,38,31,58,44,44,31,42,37,51,38,47,50,70,38,35,70,73,62,56,68,63,37,50,21,86,58,56,57,49,46,50,71,82,67,82,64,61,82,93,108,87,96,23,50,26,22,0,36
Arcadia,48,56,34,51,74,30,53,74,64,64,41,62,46,71,54,63,60,78,51,55,66,93,72,52,88,83,53,70,43,83,78,77,42,45,66,70,90,102,87,103,84,79,102,103,112,90,109,13,13,31,31,36,0
