city,lat,long,pop,svi
Ada,40.768056,-83.825278,5334,0.39
Alger,40.709722,-83.844167,837,0.5942
Bluffton,40.889444,-83.879167,3967,0.4508
Cairo,40.830833,-84.084444,517,0.19
Caledonia,40.636389,-82.969444,560,0.3275
Carey,40.949444,-83.376111,3565,0.4142
Columbus Grove,40.920556,-84.059722,2160,0.3508
Continental,41.100278,-84.2725,1102,0.3992
Cridersville,40.664722,-84.130833,1791,0.6767
Delphos,40.861111,-84.35,7117,0.5625
Dunkirk,40.788056,-83.642778,774,0.5475
Elida,40.786667,-84.198889,1923,0.565
Forest,40.805,-83.511667,1350,0.1958
Fort Jennings,40.906944,-84.299722,525,0.1
Glandorf,41.027778,-84.079167,969,0.16625
Kalida,40.985278,-84.194444,1455,0.0675
Kenton,40.646667,-83.6225,7947,0.9183
La Rue,40.576389,-83.384722,676,0.1633
Leipsic,41.113889,-83.9625,2177,0.7117
Lima,40.746389,-84.123333,35579,0.923333333
Marion,40.62,-83.126389,35999,0.9325
Minster,40.393889,-84.376111,3046,0.2633
Mount Victory,40.533611,-83.521111,601,0.66
Nevada,40.818611,-83.128333,706,0.3483
New Bremen,40.436389,-84.379444,3034,0.095
New Knoxville,40.498333,-84.311111,946,0.2467
Ottawa,41.008333,-84.0375,4456,0.3217
Ottoville,40.934167,-84.338333,966,0.0625
Pandora,40.9475,-83.956667,1204,0.1058
Prospect,40.453889,-83.184722 ,1067,0.0967
Saint Marys,40.548889,-84.373333,8397,0.4375
Spencerville,40.708056,-84.352778,2198,0.5517
Sycamore,40.951667,-83.170833 ,793,0.195
Upper Sandusky,40.831111,-83.2625,6698,0.6392
Wapakoneta,40.565556,-84.191111,9957,0.4725
Waynesfield,40.6025,-83.973889,749,0.3467
Bellefontaine,40.36944,-83.75500,14115,0.8125
West Liberty,40.25333,-83.75556,1770,0.5017
Russells Point,40.46833,-83.89389,1320,0.8475
De Graff,40.31278,-83.91667,1250,0.4883
Lakeview,40.48750,-83.92667,1184,0.6408
Belle Center,40.50833,-83.74944,809,0.2133
Quincy,40.29556,-83.96861,536,0.0917
Marysville,40.24222,-83.37361,25571,0.4592
Plain City,40.10778,-83.26389,4065,0.2583
Richwood,40.42750,-83.29500,2222,0.4267
Milford Center,40.17861,-83.43583,807,0.1417
Findlay,41.04278,-83.64222,40313,0.7533
Fostoria,41.16306,-83.39861,13046,0.9017
McComb,41.10694,-83.79000,1558,0.5175
Arlington,40.89361,-83.65306,1492,0.2567
Rawson,40.95694,-83.78500,567,0.11
Arcadia,41.10806,-83.51472,564,0.0567
