from,to,distance_km,duration_min
Ada,Alger,8.81,9.3
Ada,Bluffton,19.62,20.62
Ada,Cairo,31.08,23.32
Ada,Caledonia,102.08,70.19
Ada,Carey,65.16,44.49
Ada,Columbus Grove,36.03,31.2
Ada,Continental,70.83,62.91
Ada,Cridersville,38.8,35.77
Ada,Delphos,51.43,36.36
Ada,Dunkirk,17.85,18.74
Ada,Elida,45.67,36.74
Ada,Forest,35.36,26.39
Ada,Fort Jennings,58.26,43.8
Ada,Glandorf,50.36,45.18
Ada,Kalida,52.21,43.3
Ada,Kenton,24.99,24.45
Ada,La Rue,52.09,50.69
Ada,Leipsic,48.88,48.34
Ada,Lima,26.29,26.49
Ada,Marion,91.49,63.25
Ada,Minster,84.74,67.05
Ada,Mount Victory,39.74,39.2
Ada,Nevada,71.78,47.96
Ada,New Bremen,79.41,61.99
Ada,New Knoxville,68.9,56.78
Ada,Ottawa,47.46,41.01
Ada,Ottoville,60.53,42.4
Ada,Pandora,34.1,29.24
Ada,Prospect,78.84,72.88
Ada,Saint Marys,68.84,52.16
Ada,Spencerville,49.06,50.39
Ada,Sycamore,68.79,51.15
Ada,Upper Sandusky,53.14,37.73
Ada,Wapakoneta,50.15,39.48
Ada,Waynesfield,34.99,32.14
Alger,Ada,8.81,9.3
Alger,Bluffton,28.35,29.75
Alger,Cairo,39.81,32.45
Alger,Caledonia,110.8,79.32
Alger,Carey,73.89,53.62
Alger,Columbus Grove,44.75,40.33
Alger,Continental,79.55,72.04
Alger,Cridersville,36.26,36.15
Alger,Delphos,60.16,45.49
Alger,Dunkirk,26.58,27.87
Alger,Elida,37.17,38.94
Alger,Forest,44.08,35.52
Alger,Fort Jennings,66.98,52.93
Alger,Glandorf,59.09,54.31
Alger,Kalida,60.94,52.43
Alger,Kenton,25.59,25.33
Alger,La Rue,52.69,51.56
Alger,Leipsic,57.6,57.47
Alger,Lima,25.66,27.95
Alger,Marion,69.18,67.17
Alger,Minster,82.2,67.43
Alger,Mount Victory,40.34,40.07
Alger,Nevada,80.51,57.09
Alger,New Bremen,76.88,62.38
Alger,New Knoxville,66.36,57.16
Alger,Ottawa,56.18,50.13
Alger,Ottoville,69.26,51.53
Alger,Pandora,37.72,37.72
Alger,Prospect,79.45,73.76
Alger,Saint Marys,66.3,52.54
Alger,Spencerville,47.57,51.23
Alger,Sycamore,77.52,60.28
Alger,Upper Sandusky,61.86,46.86
Alger,Wapakoneta,47.61,39.86
Alger,Waynesfield,26.2,22.95
Bluffton,Ada,19.5,20.48
Bluffton,Alger,28.23,29.61
Bluffton,Cairo,23.61,17.5
Bluffton,Caledonia,108.79,76.47
Bluffton,Carey,55.0,37.58
Bluffton,Columbus Grove,16.28,20.55
Bluffton,Continental,52.79,49.98
Bluffton,Cridersville,39.14,29.29
Bluffton,Delphos,43.96,30.54
Bluffton,Dunkirk,31.91,26.58
Bluffton,Elida,32.8,30.16
Bluffton,Forest,42.07,32.67
Bluffton,Fort Jennings,50.79,37.98
Bluffton,Glandorf,33.05,31.63
Bluffton,Kalida,44.75,37.49
Bluffton,Kenton,47.93,42.84
Bluffton,La Rue,73.32,65.53
Bluffton,Leipsic,30.69,29.78
Bluffton,Lima,26.65,20.78
Bluffton,Marion,98.21,69.53
Bluffton,Minster,85.08,60.57
Bluffton,Mount Victory,62.81,57.76
Bluffton,Nevada,78.5,54.23
Bluffton,New Bremen,79.76,55.51
Bluffton,New Knoxville,69.24,50.3
Bluffton,Ottawa,29.64,26.52
Bluffton,Ottoville,53.06,36.58
Bluffton,Pandora,11.84,15.3
Bluffton,Prospect,123.25,83.82
Bluffton,Saint Marys,69.18,45.68
Bluffton,Spencerville,49.42,44.68
Bluffton,Sycamore,73.97,56.87
Bluffton,Upper Sandusky,59.85,44.01
Bluffton,Wapakoneta,50.5,32.99
Bluffton,Waynesfield,45.55,37.69
Cairo,Ada,31.26,23.63
Cairo,Alger,39.99,32.76
Cairo,Bluffton,23.98,18.42
Cairo,Caledonia,120.55,79.62
Cairo,Carey,78.17,52.37
Cairo,Columbus Grove,11.23,11.29
Cairo,Continental,45.06,42.34
Cairo,Cridersville,22.99,26.26
Cairo,Delphos,23.36,17.27
Cairo,Dunkirk,43.67,29.73
Cairo,Elida,15.16,17.39
Cairo,Forest,53.83,35.82
Cairo,Fort Jennings,30.19,24.71
Cairo,Glandorf,25.32,23.99
Cairo,Kalida,24.15,24.21
Cairo,Kenton,59.69,45.99
Cairo,La Rue,85.08,68.69
Cairo,Leipsic,34.72,32.32
Cairo,Lima,11.86,12.79
Cairo,Marion,109.97,72.68
Cairo,Minster,69.64,58.91
Cairo,Mount Victory,74.57,60.91
Cairo,Nevada,90.26,57.39
Cairo,New Bremen,64.32,53.85
Cairo,New Knoxville,53.81,48.64
Cairo,Ottawa,22.42,19.81
Cairo,Ottoville,32.46,23.31
Cairo,Pandora,20.32,20.73
Cairo,Prospect,135.01,86.97
Cairo,Saint Marys,53.74,44.02
Cairo,Spencerville,35.83,32.41
Cairo,Sycamore,87.27,60.58
Cairo,Upper Sandusky,71.61,47.16
Cairo,Wapakoneta,35.06,31.33
Cairo,Waynesfield,35.21,37.59
Caledonia,Ada,102.21,70.4
Caledonia,Alger,110.94,79.53
Caledonia,Bluffton,108.65,76.23
Caledonia,Cairo,120.01,78.76
Caledonia,Carey,64.67,45.8
Caledonia,Columbus Grove,124.95,86.64
Caledonia,Continental,159.75,118.34
Caledonia,Cridersville,137.56,93.61
Caledonia,Delphos,140.36,91.79
Caledonia,Dunkirk,86.4,59.43
Caledonia,Elida,134.59,92.17
Caledonia,Forest,73.48,51.91
Caledonia,Fort Jennings,147.18,99.23
Caledonia,Glandorf,139.29,100.62
Caledonia,Kalida,141.14,98.74
Caledonia,Kenton,57.96,55.82
Caledonia,La Rue,39.96,40.02
Caledonia,Leipsic,125.17,96.02
Caledonia,Lima,125.06,85.1
Caledonia,Marion,15.25,15.35
Caledonia,Minster,183.49,124.89
Caledonia,Mount Victory,59.56,58.92
Caledonia,Nevada,39.55,35.37
Caledonia,New Bremen,178.17,119.84
Caledonia,New Knoxville,167.66,114.62
Caledonia,Ottawa,126.93,95.87
Caledonia,Ottoville,149.46,97.83
Caledonia,Pandora,123.03,84.67
Caledonia,Prospect,34.65,28.67
Caledonia,Saint Marys,167.59,110.0
Caledonia,Spencerville,152.83,106.93
Caledonia,Sycamore,61.71,48.64
Caledonia,Upper Sandusky,43.55,34.3
Caledonia,Wapakoneta,148.91,97.32
Caledonia,Waynesfield,91.53,89.34
Carey,Ada,66.05,45.55
Carey,Alger,74.77,54.68
Carey,Bluffton,54.8,36.78
Carey,Cairo,77.8,51.34
Carey,Caledonia,65.92,47.25
Carey,Columbus Grove,67.11,57.05
Carey,Continental,89.37,78.07
Carey,Cridersville,93.33,63.12
Carey,Delphos,98.15,64.38
Carey,Dunkirk,50.24,34.58
Carey,Elida,86.99,64.0
Carey,Forest,37.32,27.05
Carey,Fort Jennings,104.98,71.83
Carey,Glandorf,69.63,59.72
Carey,Kalida,80.88,69.33
Carey,Kenton,56.4,46.69
Carey,La Rue,53.37,50.78
Carey,Leipsic,64.45,54.76
Carey,Lima,80.84,54.62
Carey,Marion,55.34,40.31
Carey,Minster,139.27,94.41
Carey,Mount Victory,71.06,61.36
Carey,Nevada,35.63,25.02
Carey,New Bremen,133.95,89.35
Carey,New Knoxville,123.44,84.14
Carey,Ottawa,66.21,54.61
Carey,Ottoville,107.25,70.42
Carey,Pandora,58.24,47.88
Carey,Prospect,80.38,54.6
Carey,Saint Marys,123.37,79.52
Carey,Spencerville,103.61,78.52
Carey,Sycamore,18.97,19.29
Carey,Upper Sandusky,21.51,16.42
Carey,Wapakoneta,104.69,66.83
Carey,Waynesfield,99.74,71.53
Columbus Grove,Ada,36.16,31.78
Columbus Grove,Alger,44.89,40.91
Columbus Grove,Bluffton,16.28,20.55
Columbus Grove,Cairo,11.23,11.29
Columbus Grove,Caledonia,125.46,87.77
Columbus Grove,Carey,67.61,57.96
Columbus Grove,Continental,34.18,32.45
Columbus Grove,Cridersville,32.74,35.95
Columbus Grove,Delphos,33.12,26.95
Columbus Grove,Dunkirk,48.58,37.88
Columbus Grove,Elida,24.91,27.07
Columbus Grove,Forest,58.74,43.97
Columbus Grove,Fort Jennings,22.91,24.18
Columbus Grove,Glandorf,14.44,14.1
Columbus Grove,Kalida,21.81,22.78
Columbus Grove,Kenton,64.59,54.14
Columbus Grove,La Rue,89.99,76.84
Columbus Grove,Leipsic,23.84,22.43
Columbus Grove,Lima,21.61,22.48
Columbus Grove,Marion,114.87,80.83
Columbus Grove,Minster,79.4,68.59
Columbus Grove,Mount Victory,79.47,69.06
Columbus Grove,Nevada,95.17,65.53
Columbus Grove,New Bremen,74.07,63.53
Columbus Grove,New Knoxville,63.56,58.32
Columbus Grove,Ottawa,11.54,9.92
Columbus Grove,Ottoville,27.47,28.86
Columbus Grove,Pandora,9.09,9.43
Columbus Grove,Prospect,139.91,95.12
Columbus Grove,Saint Marys,63.5,53.7
Columbus Grove,Spencerville,45.58,42.09
Columbus Grove,Sycamore,92.18,68.72
Columbus Grove,Upper Sandusky,76.52,55.31
Columbus Grove,Wapakoneta,44.81,41.02
Columbus Grove,Waynesfield,44.97,47.27
Continental,Ada,70.66,62.73
Continental,Alger,79.39,71.86
Continental,Bluffton,52.79,49.98
Continental,Cairo,45.06,42.34
Continental,Caledonia,159.95,118.71
Continental,Carey,89.8,78.84
Continental,Columbus Grove,34.18,32.45
Continental,Cridersville,59.48,63.28
Continental,Delphos,34.81,36.13
Continental,Dunkirk,83.07,68.83
Continental,Elida,49.77,48.03
Continental,Forest,93.23,74.92
Continental,Fort Jennings,25.76,26.77
Continental,Glandorf,23.59,24.74
Continental,Kalida,18.61,19.6
Continental,Kenton,99.09,85.09
Continental,La Rue,124.48,107.78
Continental,Leipsic,25.23,25.95
Continental,Lima,48.81,50.27
Continental,Marion,149.36,111.78
Continental,Minster,87.63,92.29
Continental,Mount Victory,113.96,100.01
Continental,Nevada,129.66,96.48
Continental,New Bremen,82.72,87.17
Continental,New Knoxville,79.73,84.4
Continental,Ottawa,23.17,23.51
Continental,Ottoville,25.75,26.32
Continental,Pandora,39.26,41.28
Continental,Prospect,174.41,126.07
Continental,Saint Marys,70.65,74.44
Continental,Spencerville,50.27,52.23
Continental,Sycamore,108.77,98.14
