date,siteId,footTraffic
2024-08-02,1,28
2024-08-06,23,1
2024-08-07,24,3
2024-08-13,13,3
2024-08-14,3,8
2024-08-20,26,3
2024-08-21,4,6
2024-08-21,9,4
2024-08-27,10,3
2024-08-27,12,2
2024-08-28,5,3
2024-09-10,27,4
2024-09-10,13,60
2024-09-17,4,65
2024-09-21,28,30
2024-09-24,24,2
2024-09-24,29,5
2024-09-24,12,13
2024-09-25,11,4
2024-09-25,5,3
2024-09-28,1,9
2024-10-03,5,2
2024-10-08,30,6
2024-10-10,3,18
2024-10-15,26,3
2024-10-16,4,4
2024-10-16,10,3
2024-10-17,28,3
2024-10-22,24,3
2024-10-22,12,0
2024-10-23,11,4
2024-10-23,5,4
2024-10-25,1,0
2024-11-05,31,0
2024-11-08,5,5
2024-11-12,13,4
2024-11-14,32,5
2024-11-19,3,5
2024-11-19,4,4
2024-11-20,12,3
2024-11-21,9,3
2024-11-26,24,3
2024-11-26,11,4
2024-11-27,1,3
2024-12-03,31,0
2024-12-04,5,6
2024-12-17,3,1
2024-12-17,26,2
2024-12-18,4,3
2024-12-18,10,4
2024-12-19,1,2
2024-01-07,13,2
2025-01-10,5,2
2025-01-14,4,0
2025-01-15,10,2
2025-01-16,5,3
2025-01-23,9,1
2025-01-28,9,4
2025-01-28,24,4
2025-01-28,12,8
2025-01-29,11,3
2025-01-29,1,1
2025-02-04,31,0
2025-02-05,33,5
2025-02-12,3,7
2025-02-18,26,3
2025-02-19,4,2
2025-02-19,10,2
2025-02-20,9,5
2025-02-25,24,7
2025-02-25,12,4
2025-02-26,11,1
2025-02-26,5,0
2025-02-27,1,0
2025-03-04,31,1
2025-03-05,2,4
2025-03-06,13,3
2025-03-13,26,4
2025-03-19,4,4
2025-03-19,10,2
2025-03-20,9,3
2025-03-25,24,3
2025-03-25,12,3
2025-03-26,11,3
2025-03-26,5,0
2025-03-27,1,0
2025-04-01,31,1
2025-04-02,2,8
2025-04-03,34,3
2025-04-07,13,7
2025-04-10,26,7
2025-04-16,4,3
2025-04-16,10,4
2025-04-17,24,2
2025-04-22,12,10
2025-04-23,11,5
2025-04-23,5,2
2024-04-24,2,3
2025-05-02,1,18
2025-05-06,31,4
2025-05-07,13,10
2025-05-08,3,7
2025-05-13,10,31
