,f_1,f_2,f_3,f_4
0,259.0,3.0,585.95,0.6186193485658726
1,441.0,10.0,1506.95,0.5997497254181746
2,259.0,3.0,585.95,0.6186193485658726
3,401.0,3.0,754.15,0.6186193485658726
4,402.0,4.0,835.45,0.6377410468319559
5,309.0,1.0,496.15,0.47478348547867266
6,441.0,10.0,1506.95,0.5997497254181746
7,309.0,1.0,496.15,0.47478348547867266
8,394.0,2.0,672.15,0.5720664758097913
9,402.0,4.0,835.45,0.6377410468319559
10,355.0,0.0,420.5,0.34227299735321126
11,440.0,9.0,1428.25,0.6377410468319559
12,355.0,0.0,420.5,0.34227299735321126
13,384.0,1.0,596.15,0.5165109202542357
14,402.0,4.0,835.45,0.6377410468319559
15,355.0,0.0,420.5,0.34227299735321126
16,440.0,9.0,1428.25,0.6377410468319559
17,355.0,0.0,420.5,0.34227299735321126
18,385.0,0.0,588.0,0.4192279299231171
19,402.0,4.0,835.45,0.6377410468319559
20,355.0,0.0,420.5,0.34227299735321126
21,440.0,9.0,1428.25,0.6377410468319559
22,355.0,0.0,420.5,0.34227299735321126
23,385.0,0.0,588.0,0.4192279299231171
24,402.0,4.0,835.45,0.6377410468319559
25,355.0,0.0,420.5,0.34227299735321126
26,440.0,9.0,1428.25,0.6377410468319559
27,355.0,0.0,420.5,0.34227299735321126
28,385.0,0.0,588.0,0.4192279299231171
29,402.0,4.0,835.45,0.6377410468319559
30,401.0,3.0,754.15,0.6186193485658726
31,441.0,10.0,1506.95,0.5997497254181746
32,402.0,4.0,835.45,0.6377410468319559
33,401.0,3.0,754.15,0.6186193485658726
34,402.0,4.0,835.45,0.6377410468319559
35,338.0,2.0,671.8,0.5720664758097913
36,439.0,8.0,1346.95,0.6377410468319559
37,338.0,2.0,671.8,0.5720664758097913
38,394.0,2.0,672.15,0.5720664758097913
39,402.0,4.0,835.45,0.6377410468319559
40,369.0,1.0,512.4,0.4395559876843299
41,434.0,5.0,1085.55,0.6142530474081276
42,369.0,1.0,512.4,0.4395559876843299
43,399.0,1.0,679.9,0.5165109202542357
44,402.0,4.0,835.45,0.6377410468319559
45,370.0,0.0,504.25,0.4192279299231171
46,434.0,4.0,1009.4,0.6186193485658726
47,370.0,0.0,504.25,0.4192279299231171
48,400.0,0.0,671.75,0.4192279299231171
49,402.0,4.0,835.45,0.6377410468319559
50,370.0,0.0,504.25,0.4192279299231171
51,434.0,4.0,1009.4,0.6186193485658726
52,370.0,0.0,504.25,0.4192279299231171
53,400.0,0.0,671.75,0.4192279299231171
54,402.0,4.0,835.45,0.6377410468319559
55,370.0,0.0,504.25,0.4192279299231171
56,434.0,4.0,1009.4,0.6186193485658726
57,370.0,0.0,504.25,0.4192279299231171
58,400.0,0.0,671.75,0.4192279299231171
59,402.0,4.0,835.45,0.6377410468319559
60,401.0,3.0,754.15,0.6186193485658726
61,431.0,3.0,921.65,0.6186193485658726
62,402.0,4.0,835.45,0.6377410468319559
63,401.0,3.0,754.15,0.6186193485658726
64,402.0,4.0,835.45,0.6377410468319559
65,385.0,2.0,674.85,0.5720664758097913
66,424.0,2.0,839.65,0.5720664758097913
67,402.0,4.0,835.45,0.6377410468319559
68,394.0,2.0,672.15,0.5720664758097913
69,402.0,4.0,835.45,0.6377410468319559
70,399.0,1.0,679.9,0.5165109202542357
71,424.0,2.0,839.65,0.5720664758097913
72,402.0,2.0,746.0,0.521336358234754
73,399.0,1.0,679.9,0.5165109202542357
74,402.0,4.0,835.45,0.6377410468319559
75,400.0,0.0,671.75,0.4192279299231171
76,424.0,2.0,839.65,0.5720664758097913
77,400.0,0.0,671.75,0.4192279299231171
78,400.0,0.0,671.75,0.4192279299231171
79,402.0,4.0,835.45,0.6377410468319559
80,400.0,0.0,671.75,0.4192279299231171
81,424.0,2.0,839.65,0.5720664758097913
82,400.0,0.0,671.75,0.4192279299231171
83,400.0,0.0,671.75,0.4192279299231171
84,402.0,4.0,835.45,0.6377410468319559
85,400.0,0.0,671.75,0.4192279299231171
86,424.0,2.0,839.65,0.5720664758097913
87,400.0,0.0,671.75,0.4192279299231171
88,400.0,0.0,671.75,0.4192279299231171
89,402.0,4.0,835.45,0.6377410468319559
90,401.0,3.0,754.15,0.6186193485658726
91,431.0,3.0,921.65,0.6186193485658726
92,402.0,4.0,835.45,0.6377410468319559
93,401.0,3.0,754.15,0.6186193485658726
94,402.0,4.0,835.45,0.6377410468319559
95,394.0,2.0,672.15,0.5720664758097913
96,436.0,5.0,1094.6,0.6377410468319559
97,402.0,4.0,835.45,0.6377410468319559
98,394.0,2.0,672.15,0.5720664758097913
99,402.0,4.0,835.45,0.6377410468319559
100,399.0,1.0,679.9,0.5165109202542357
101,436.0,5.0,1094.6,0.6377410468319559
102,431.0,3.0,921.65,0.6186193485658726
103,399.0,1.0,679.9,0.5165109202542357
104,402.0,4.0,835.45,0.6377410468319559
105,400.0,0.0,671.75,0.4192279299231171
106,436.0,5.0,1094.6,0.6377410468319559
107,431.0,3.0,921.65,0.6186193485658726
108,400.0,0.0,671.75,0.4192279299231171
109,402.0,4.0,835.45,0.6377410468319559
110,400.0,0.0,671.75,0.4192279299231171
111,436.0,5.0,1094.6,0.6377410468319559
112,431.0,3.0,921.65,0.6186193485658726
113,400.0,0.0,671.75,0.4192279299231171
114,402.0,4.0,835.45,0.6377410468319559
115,400.0,0.0,671.75,0.4192279299231171
116,436.0,5.0,1094.6,0.6377410468319559
117,431.0,3.0,921.65,0.6186193485658726
118,400.0,0.0,671.75,0.4192279299231171
119,402.0,4.0,835.45,0.6377410468319559
120,401.0,3.0,754.15,0.6186193485658726
121,441.0,10.0,1506.95,0.5997497254181746
122,402.0,4.0,835.45,0.6377410468319559
123,401.0,3.0,754.15,0.6186193485658726
124,402.0,4.0,835.45,0.6377410468319559
125,394.0,2.0,672.15,0.5720664758097913
126,441.0,10.0,1506.95,0.5997497254181746
127,403.0,4.0,839.35,0.6377410468319559
128,394.0,2.0,672.15,0.5720664758097913
129,402.0,4.0,835.45,0.6377410468319559
130,399.0,1.0,679.9,0.5165109202542357
131,441.0,10.0,1506.95,0.5997497254181746
132,437.0,6.0,1173.3,0.6377410468319559
133,399.0,1.0,679.9,0.5165109202542357
134,402.0,4.0,835.45,0.6377410468319559
135,400.0,0.0,671.75,0.4192279299231171
136,441.0,10.0,1506.95,0.5997497254181746
137,437.0,6.0,1173.3,0.6377410468319559
138,400.0,0.0,671.75,0.4192279299231171
139,402.0,4.0,835.45,0.6377410468319559
140,400.0,0.0,671.75,0.4192279299231171
141,441.0,10.0,1506.95,0.5997497254181746
142,437.0,6.0,1173.3,0.6377410468319559
143,400.0,0.0,671.75,0.4192279299231171
144,402.0,4.0,835.45,0.6377410468319559
145,400.0,0.0,671.75,0.4192279299231171
146,441.0,10.0,1506.95,0.5997497254181746
147,437.0,6.0,1173.3,0.6377410468319559
148,400.0,0.0,671.75,0.4192279299231171
149,402.0,4.0,835.45,0.6377410468319559
150,401.0,3.0,754.15,0.6186193485658726
151,441.0,10.0,1506.95,0.5997497254181746
152,402.0,4.0,835.45,0.6377410468319559
153,401.0,3.0,754.15,0.6186193485658726
154,402.0,4.0,835.45,0.6377410468319559
155,394.0,2.0,672.15,0.5720664758097913
